

Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.390
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

116008          |12335|1/8 INCH COLLET FOR SHERLINE MILL                               |1/8 COLLET      |  $23.80|EACH    |   0
4335            |12336|10,000 RPM PULLEY SET FOR SHERLINE MILL                         |10K PULLEY      | $112.00|EACH    |   0
3DM-SK          |11569|3-AXIS ORIENTATION SYSTEM STARTER KIT                           |3DM-SK          | $973.00|EACH    |   0
TIP-SEA CASE    |15518|3D PRINTED ABS CASE FOR TIP-SEA ROOM SCHEDULERS                 |TIP-SEA CASE    | $180.00|EACH    |  14
782703-01       |15364|ACCESSORIES 4-CONNECTORS & SCREWDRIVER FOR NI USB-600X MODULES  |USB-600X        |   $0.00|EACH    |   0
NM910           |11523|ACCESSORY PACK NM1 CHANNEL MOUNTING                             |NM910           |   $3.71|EACH    |   0
AN20-1000       |12696|ACID COPPER ANALYSIS KIT -TOOLS/REAGENTS ACID COPPER PLATING BAT|COPPER ANALYSI  |   $0.00|EACH    |   0
?               |12775|ACRYLIC SHEET CLEAR CAST 1/2" (.472" NOM) THICK                 |ACRYLIC1/2      |   $0.13|SQ.IN   | 218
?               |12776|ACRYLIC SHEET CLEAR CAST 1/4" (.236") THICK                     |ACRYLIC1/4CAST  |   $0.12|SQ.IN   |1076
?               |14316|ACRYLIC SHEET CLEAR EXTRUDED 1/4" THICK                         |ACRYLIC1/4EXTR  |   $0.10|EACH    |1728
?               |13021|ACRYLIC SHEET EXTRUDED 2025 BLACK 1/4" THICKNESS                |ACRYLIC.236BLK  |   $0.13|SQ.IN   |2028
?               |15623|ACRYLIC SHEET EXTRUDED 2025 BLACK 1/8"-THICK                    |ACRYLIC-1/8BLK  |   $0.10|SQ.IN   | 706
?               |14097|ACRYLIC SHEET EXTRUDED BRONZE .236-THICK 27%-LIGHT TRANSMISSION |ACRYLIC.236BRZ  |   $0.07|SQ.IN   | 184
?               |16069|ACRYLIC SHEET EXTRUDED CLEAR 3/16"-THICK                        |ACRYLIC-3/16    |   $0.07|SQ.IN   | 576
AS201801        |13103|ACTUATOR MAGNETIC FOR PROXIMITY SENSORS FLANGE MT               |MAGNET-ACTUATO  |   $3.00|EACH    |   8
AD2000          |11483|AD2000 VOICE DIALER 4 ZONES                                     |VOICE DIALER    | $175.14|EACH    |   1
?               |11475|ADAPTER 1/2" MIPT MALE ADAPTER                                  |1/2MIPT-ADPT    |   $0.43|EACH    |   0
IDE2CF          |14502|ADAPTER 40/44 PIN IDE TO COMPACT FLASH SSD                      |CF-IDE-ADAPTER  |  $16.95|EACH    |   1
U1177A          |14312|ADAPTER BLUETOOTH FOR DIGITAL MULTIMETERS AGILENT # U1177A      |U1177A          |  $51.10|EACH    |   0
MMP-0617        |16005|ADAPTER CABLE JOINER/EXTENDER FOR RASPBERRY PI CAMERA           |PI-CAM-CAB-EXT  |  $10.28|EACH    |   0
SY-BIR-IDESA    |13212|ADAPTER IDE/SATA BI-DIRECTIONAL CONVERTER                       |SATA/IDE/BI-DI  |  $19.95|EACH    |   2
9J7-00001       |15712|ADAPTER MICROSOFT KINECT FOR WINDOWS USB 3.0                    |KINECT-WINDOWS  |  $54.95|EACH    |   0
?               |12487|ADAPTER NETWORK USB 3.0 TO ETHERNET GIGABIT 10/100/1000MBPS     |USB-ETHERNET    |  $19.95|EACH    |   3
ENUWI-N3        |13423|ADAPTER NETWORK USB WIRELESS-N 150MBPS WPA2                     |USB-WIRELESS    |  $14.95|EACH    |   0
WDCSXP320       |11630|ADAPTER PARALLEL-SERIAL OR SERIAL-PARALLEL DB25F-CENTRONIX      |PARALLEL-SER    |  $48.93|EACH    |   0
?               |15828|ADAPTER POWER/PC MICROSOFT KINECT COMPATIBLE                    |KINECT-ADAPTER  |  $19.23|EACH    |   0
?               |12940|ADAPTER USB BLUETOOTH 2.0 + EDR CLASS 1 (100M)                  |BLUETOOTH-USB   |   $9.95|EACH    |   4
EW7811UN        |14094|ADAPTER USB WIRELESS 150MBPS 802.11N/B/G  WPA2 ULTRA MINI       |WRLS-USB-MICRO  |  $14.95|EACH    |   2
ARCHER T2U      |15738|ADAPTER USB WIRELESS DUAL BAND 600MBPS 802.11A/B/G/N  WPA2      |USB-WRLS-AC600  |  $29.95|EACH    |   4
5115            |14661|ADHESIVE FLOORING BEIGE TITEBOND #5115 1-QUART                  |ADHESIVE-FLOOR  |  $11.95|EACH    |   1
SUPER 77        |11389|ADHESIVE MULTIPURPOSE AEROSOL 24OZ 3M-SUPER 77                  |SUPER77         |  $12.11|EACH    |   0
BOND634         |12617|ADHESIVE PLASTIC TO METAL OR OTHER SURFACES (GLASS,POLSTYRENE) C|METAL BOND      |   $5.46|EACH    |   0
BONDAB          |12616|ADHESIVE PLASTIC TO PLASTIC APLICATOR                           |BOND APLICATOR  |   $4.90|EACH    |   0
BOND            |12621|ADHESIVE PLASTIC TO PLASTIC WELD                         CHEMICA|PLASTIC BOND    |  $29.40|QUART   |   0
DP8005          |12490|ADHESIVE SCOTCH-WELD STRUCTURAL PLASTIC 35ML BLACK              |DP8005          |  $30.51|EACH    |   0
66BR            |10716|ADHESIVE SEALANT CLEAR RTV SILICONE 3 OZ TUBE                   |RTV             |   $3.91|EACH    |   0
81158           | 7772|ADHESIVE SEALANT RTV SILICONE BLACK 3OZ                         |SILICONE-RTV    |   $5.95|EACH    |   4
?               |13955|ADHESIVE SILICATE HIGH-TEMP 2000F 10.3OZ CARTRIDGE       CHEMICA|HIGH-TEMP-ADHE  |  $11.58|EACH    |   0
SUPERSPRAY      |11049|ADHESIVE SUPER SPRAY MULTI-PURPOSE 10OZ AEROSOL CAN             |ADHESIVE-SPRAY  |   $5.54|EACH    |   0
AA-BACKSWEEP    |12955|AIR ASSIST BACKSWEEP VERSALSER                                  |AIR-ASS-BACKSP  | $315.00|EACH    |   0
AIR ASSIST CONE |12924|AIR ASSIST CONE VERSALASER                                      |AIR-ASS-CONE    | $196.00|EACH    |   0
???             |11834|AIR CYLINDER FOR T-TECH 7000 MILL                               |AIR CYLINDER    |  $43.40|EACH    |   0
3JA27           |12799|AIR PRESSURE GUAGE TIRE 5-50PSI                                 |TIRE-GUAGE      |   $9.62|EACH    |   0
90277           |12162|ALARM PROXIMITY MOBILE 2-PIECE TRANSMIITER/RECEIVER 15FT RANGE  |MOB-PROX-ALARM  |  $20.00|EACH    |   1
SA301F          | 6467|ALARM SMOKE DOUBLE SYSTEM                                       |SA301F          |  $28.95|EACH    |   0
SP440B          |13818|ALARM WIRELESS WINDOW/DOOR MAGNETIC 90DB                        |MAG-DOOR-ALARM  |   $8.95|EACH    |   3
Q6016LH4        |11695|ALTERNISTOR TRIAC 600V 16A TO-220                               |ALTERNISTOR     |   $3.05|EACH    |   0
?               |13458|ALUMINUM FLAT STOCK 1/4"T X 3/4"W X 6'L UNPOLISHED TYPE 6061    |ALUM-1/4X3/4X6  |  $16.90|EACH    |   0
?               |13323|AMPLIFIER DISTRIBUTION AUDIO/VIDEO 4-OUTPUT RCA 10HZ-10MHZ      |DIST-AMP-RCA    |  $21.95|EACH    |   1
3044            |11571|AMPLIFIER DISTRIBUTION VIDEO 4-OUTPUT 50-900MHZ 22DB GAIN       |3044            |  $40.29|EACH    |   0
V310UL          |11581|AMPLIFIER VIDEO SINGLE 10DB                                     |VIDEOAMP        |  $20.99|EACH    |   0
3DM-A           |11570|ANALOG UPGRADE FOR MICROSTRAIN 3DM SENSOR                       |3DM-A           |   $0.00|EACH    |   0
215881          |11516|ANGLE ALUMINUM 1/8"X1-1/2"X3'                                   |1/8X1-1/2X3'    |  $17.60|EACH    |   0
?               |12645|ANGLE ALUMINUM 36"X1"X1"                                        |ALUM-ANGLE      |   $4.16|EACH    |   0
?               |10842|ANGLE IRON 1" X 1" PLATED STEEL                                 |1X1ANGLEIRON    |   $2.14|FOOT    |   0
FLBNC-433       |11210|ANTENNA 1/4 WAVE FLEXIBLE WHIP 433.92MHZ BNC CONNECTOR 6.69" X .|ANT1/4WAVE433   |  $20.99|EACH    |   0
3340            |16080|ANTENNA KIT 1/2 WAVE WHIP 900MHZ LORA W/JK-IPEX MHF U.FL 1.13 CA|ANTENNA-KIT900  |  $17.95|EACH    |   4
9170-APL10:1    |12491|APPLICATOR ADHESIVE SCOTCH-WELD EPX PLUS II WITH 10:1 PLUNGER   |9170-APL10:1    |  $61.82|EACH    |   0
?               |11465|APRON SHOP FLUID-REPELLENT X-LARGE                              |APRON-XL        |   $7.69|EACH    |   0


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.407
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

?               |11466|APRON SHOP FLUID-REPELLENT XX-LARGE                             |APRON-XXL       |   $7.69|EACH    |   0
9040            |12148|ARM KEYBOARD RADIAL DESK MOUNT BLACK                            |ARM-KEYBD       | $357.17|EACH    |   0
7FLEX-104I      |13348|ARM MONITOR RADIAL FOR LCD FLAT PANEL 5-17LBS CAP.              |ARM-LCD-5-17LB  | $139.95|EACH    |   2
7000-800-104    |11773|ARM MONITOR RADIAL FOR LCD FLAT PANEL 9-30LBS CAP.              |ARM-LCD10-24LB  | $180.00|EACH    |   1
K001387         |15667|ARM MONITOR UP TO 32" LCD DESK MOUNT AMAZON BASICS              |ARM-MON-AMAZON  | $109.95|EACH    |   0
PRMA-S          |13298|ARM MONITOR VERSATABLES PREMIER MULTI-FUNCTION SILVER           |PRMA-S          | $313.95|EACH    |   0
DE640D          |15367|ARM MONITOR/TV DUAL ARTICULATING DESK MOUNT SWIVEL & TILT 12-24"|ARM-DUAL-MONIT  | $189.95|EACH    |   1
N9340B-DMA      |13564|ASK/FSK MODULATION ANALYSIS ADD-ON FOR AGILENT N9340B SPECTRUM A|N9340B-DMA      | $577.83|EACH    |   0
???             |11386|ASSORTED METCAL TIPS FOR THE MX-500DS SYSTEM                    |METCAL TIPS     | $700.00|PKG     |   0
???             |14342|AUDIO AMP BOARD FOR NTA - 4                                     |NTA-AUDIO-BD    |   $0.00|EACH    |   0
HP-1110         | 8910|AUDIO HEADPHONE DYNAMIC STEREO 3.5MM PLUG 20-18000HZ 22-32 OHM  |HEADPHONE1      |   $3.95|EACH    |   1
VISTA M22       |13930|AUDIO PROCESSOR TELEPHONE W/CLEARLINE AUDIO & HEADSET CONTROLS  |VISTA M22       |  $76.79|EACH    |   0
                | 4876|AUDIO SPEAKER 2 INCH ROUND                                      |SPEAKER         |   $1.00|EACH    |   0
WG968555        |14447|AXLE BRACKET KIT WITH ONE 1/2"DIAMETER 48"LONG AXLE             |AXLE-BKT-KY1/2  |  $46.20|EACH    |   0
WG968556        |14446|AXLE BRACKET KIT WITH ONE 3/4"DIAMETER 48"LONG AXLE             |AXLE-BKT-KT3/4  |  $39.44|EACH    |   0
???             |14344|BACK PANEL FOR NTA - 4                                          |NTA-BK-PANEL    |   $0.00|EACH    |   0
C02357          |15836|BACKGROUND PHOTOGRAPHY COLLAPSIBLE DARK GRAY 5'X7'              |BACKGROUND-5X7  |  $90.44|EACH    |   0
?               |15269|BADGE BLANK ID CARD PVC 3.375X2.125"X30MIL FOR INKJET PRINTING  |BADGE-INKJET    |   $1.00|EACH    | 135
AVT75450        |14700|BADGE HOLDER HORIZONTAL CLEAR VINYL 3.38"X2.38"                 |BADGE-HOLDER    |   $0.50|EACH    |  19
?               |15233|BADGE NAME 2"X3" BLANK FOR DYE SBLIMATION FR PLASTIC WHITE      |BADGE-2X3-SUBL  |   $2.00|EACH    | 122
?               |13019|BAG BANK/UTILITY ZIPPER-TOP CANVAS WALLET 12" X 8" UI/COE LOGO  |BAG-CANVAS-COE  |   $9.95|EACH    |  30
234041720R      |13016|BAG BANK/UTILITY ZIPPER-TOP VINYL WALLET 11" X 6"               |BAG-ZIPPER11X6  |   $3.00|EACH    |   0
EX160           |15479|BAG CAMERA UTILITY PADDED BLACK W/SHOULDER STRAP                |BAG-CAMERA      |  $19.95|EACH    |   3
???             | 6872|BAG PAPER 20# 16.5X8.0X5.0                                      |20#             |   $0.05|EACH    | 100
                | 6871|BAG PAPER 6#  11.5X5.75X3.75                                    |6#              |   $0.05|EACH    | 500
?               |10053|BAG PLASTIC 1.0 MIL 39" HIGH X 55" CIRCUMFERENCE                |BAG39X55C       |   $0.18|EACH    |   0
39GAL-24        |10684|BAG PLASTIC LAWN AND LEAF DRAWSTRING 39 GAL 24 COUNT            |BAG39G          |   $6.86|PKG     |   0
90074JH         | 7179|BAG POLY ZIP-LOCK 12"X15"                                       |90074JH         |   $0.30|EACH    | 162
?               | 7173|BAG POLY ZIP-LOCK 3"X5"                                         |BAG-ZIP-3X5     |   $0.05|EACH    | 954
90022JH         | 7174|BAG POLY ZIP-LOCK 4"X6"                                         |90022JH         |   $0.05|EACH    | 419
90036JH         | 7175|BAG POLY ZIP-LOCK 5"X8"                                         |90036JH         |   $0.10|EACH    |   0
